Status,website,regions,category,Brand Name,Stock,collection,title,Retail Price,Min Price,Promo Price,description,image1,image2,image3,image4,image5,url,sqft/box,details.roll size,details.packaging,boxes per pallet,Country of Origin,Wood Species / Type,Profile / Joint Type,details.profile,details.joint system,details.lock system,details.weight per box (lbs),details.size,,,(in progress) Plank Length,Plank Thickness,Plank Width,Wear Layer,details.wear layer thickness (mils),details.shade,details.color variation,details.color name,details.temperature,details.relative humidity,details.edge,details.installation,details.step size (mm),details.riser size (mm),details.side return size (mm),accessories,documents.specification sheet,documents.installation sheet,documents.care & maintenance,documents.do's & don'ts,documents.warranty,details.iic,details.stc,details.high noise reduction ratings,documents.technical data,documents.environmental credentials,details.sound transmission test,details.impact insulation test,details.model,details.ac rating,details.core,details.surfaces,details.anti abrasion,details.warranty,details.radiant heat application,details.certificates,documents.test report of formaldehyde,documents.formaldehyde emissionstexting introduction,documents.carb ii certification 2024,documents.floor score certification 2024,documents.floor score 2024 renewal certification assessment,documents.fsc certification,details.finish,details.grade,details.texture,details.sound conduction,tags,details.stair tread available
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Bronte Hill Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1lkVGUtGGJXYVBGOpgD-IfEGAFT-0ighr,https://docs.google.com/thumbnail?id=1W9fyV2NxAz3MntDP6vaZdAdiDM9HIoXp,,,,https://jacobflooring.com/product/bronte-hill-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Harvest Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1Ks05_jy8KYrkr34bwkPjuEm11AYKQgOf,https://docs.google.com/thumbnail?id=1ZCFbk3U0gvWkqkQM7Z8pfY1nyBTPOTPl,,,,https://jacobflooring.com/product/harvest-plus/,18.7,,,48,China,SPC,5G Click,,,5GI,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Mt. Nemo Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1NU5fM0NgkxzO5xfKRItJswfiFkFGh5hG,https://docs.google.com/thumbnail?id=1iwor8lK7GUxckfW0-rkXQ00tmUmigKy_,,,,https://jacobflooring.com/product/mt-nemo-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Niagara Twilight Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1bmLxGnbm2FEk-nM3etuS23y9--I11o3n,https://docs.google.com/thumbnail?id=16nOvg5FCsqyPf1R4q86UN6t6KXkOx7Z9,,,,https://jacobflooring.com/product/niagara-twilight-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Orchard Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1lCiUcP5wl0195tRNcj70SzszWLcrvq8W,https://docs.google.com/thumbnail?id=1IJn1SrCjAayKXyfa3UmWMgZ0HdW_d3QO,,,,https://jacobflooring.com/product/orchard-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Pineland Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1HEUF_P-0rgltGOccGKeGLATpT2PSXhbG,https://docs.google.com/thumbnail?id=1dy_-lcZdU__h8kVnqsLPaBxIJQNvqMkh,,,,https://jacobflooring.com/product/pineland-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Rockwood Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=10epb87aWwFHN0oV9AYWHOnoArVgTPqZl,https://docs.google.com/thumbnail?id=18r35A8BhE9n53edGy-yHTBdtYJ3emSNV,,,,https://jacobflooring.com/product/rockwood-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Jacob,,Canaan Wood Plus,Sandlake Stone Plus,3.69,3.49,,,https://docs.google.com/thumbnail?id=1oCStg2o--L-eGxX3fKaGl_g_nUg3Sw-A,https://docs.google.com/thumbnail?id=16fTnP2zQjNhh5M1afWnsZRs-LqEn_ns3,,,,https://jacobflooring.com/product/sandlake-stone-plus/,18.7,,,48,China,SPC,5G Click,,,5G,51,,,,"60"" ",8mm,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Series,Flooring",Jacob,,Canaan Original,Bayfront Rocks,2.99,2.79,,"60″(L) x 7″(W) x 8mm (Thickness). Wear Layer: 20ml, Antique Wood Texture with UV Coating. Lock System, UNL. SqFt per Box, 17.72. Piece per box, 6pcs. Weight, 51lb/box. Boxes Per Pallet, 50",https://docs.google.com/thumbnail?id=1jKsZNReQp32S-p3unzTnAmFsD0lIrKSj,https://docs.google.com/thumbnail?id=11qZbcedRYC_T6lQiGwviDcbmsbygbGha,,,,https://jacobflooring.com/product/bayfront-rocks/,17.72,,,50,China,SPC,Click,,,UNL,51,,,,"60"" ",8mm,"7""",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,jacobflooring.com,,"8mm Series,Flooring",Jacob,,Canaan Original,Muskoka Myth,2.99,2.79,,"60″(L) x 7″(W) x 8mm (Thickness). Wear Layer: 20ml, Antique Wood Texture with UV Coating. Lock System, UNL. SqFt per Box, 17.72. Piece per box, 6pcs. Weight, 51lb/box. Boxes Per Pallet, 50",https://docs.google.com/thumbnail?id=1Oe8tN80IySBl2rEk1BtgSn8C6Oy0nvsv,https://docs.google.com/thumbnail?id=11T1qLNQdn5p5cNsqEOUp_wDm4oMcWrTj,,,,https://jacobflooring.com/product/muskoka-myth/,17.72,,,50,China,SPC,Click,,,UNL,51,,,,"60"" ",8mm,"7""",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
