Status,Website,Category,Type / Wood Species,Thickness,Width,Brand Name,Sub-Category / Collection,Name / Colour,Joint Type / Profile,Country of Origin,Grade,Surface Texture,Wear Layer,Sqft / Box,Box Weight,Boxes / Pallet,Installation Method,Warranty,Retail Price,Min Price,Promo Price,Length,url,image1,im1,image2,image3
1,vidarflooring.com,Engineered,American Oak,"1/2""","6""",Vidar,American Oak 6,Day Break,Click,China,"Select & Better, Select, Character",,Dry sawn cut wood layer,,,,,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length (24""-75"" or 83"")",https://vidarflooring.com/test-page/item/100-day-break,https://drive.google.com/file/d/1qVg8FhNS_qsrteThuFwTlHW-yT-uQZgj/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1qVg8FhNS_qsrteThuFwTlHW-yT-uQZgj,https://drive.google.com/file/d/1oy5VNkHuauBcv3Ic1SRcPHar5W5OCGgq/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Silver Stone,Tongue and groove profile,China,Character,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/108-american-oak-silver-stone,https://drive.google.com/file/d/1PK-KqTug-ly57-m1tsrBFAwHMfO8r6Ye/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1PK-KqTug-ly57-m1tsrBFAwHMfO8r6Ye,https://drive.google.com/file/d/1hDOsA_WZ6aG2AyQ0DWfTju3Uk3W7zsaW/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Sky,Tongue and groove profile,China,Character,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/109-american-oak-sky,https://drive.google.com/file/d/1uXNGgk6HIhKESvoWvwJhqcnWnlrfJCdv/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1uXNGgk6HIhKESvoWvwJhqcnWnlrfJCdv,https://drive.google.com/file/d/1ZAaq2MJHX-8japdVoaiO0htP3tcfHao8/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Naked Oak,Tongue and groove profile,China,Character,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/111-american-oak-naked-oak,https://drive.google.com/file/d/1y0byI1chbND-PXH-NWbrcETC7SZOZX33/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1y0byI1chbND-PXH-NWbrcETC7SZOZX33,https://drive.google.com/file/d/1SqVSZZdkGgMBpcczETyjunuVDTRWEngE/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Driftwood,Tongue and groove profile,China,"Select&Better, Select",,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/112-american-oak-driftwood,https://drive.google.com/file/d/1aU_8-AvdiaDwiqwTLstqrseA0GxZBi41/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1aU_8-AvdiaDwiqwTLstqrseA0GxZBi41,https://drive.google.com/file/d/1JnuXJuWMb95UOHvGnuRqRjalzB3neGgG/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Milkyway,Tongue and groove profile,China,Select & Better,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/114-american-oak-milkyway,https://drive.google.com/file/d/1rCcnYu-Uhm0jIPj3ApKP742TdnYjapnK/view?usp=drivesdk,,https://drive.google.com/file/d/1TalEPP5DHNO3IdlAy0iAwFiTdeFroqU4/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Night Owl,Tongue and groove profile,China,Select & Better,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/118-american-oak-night-owl,https://drive.google.com/file/d/1-p4GXlrdkTDZi_4v_vGlTwxSn3VDwWiw/view?usp=drivesdk,,https://drive.google.com/file/d/1_xqsris1idMkiMCyqhnQSgAp4FX7Rasd/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Mist,Tongue and groove profile,China,Select & Better,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/119-american-oak-mist,https://drive.google.com/file/d/14bKiZvYa1f7eEJHM_QsNK4Z6Qs35YQnN/view?usp=drivesdk,,https://drive.google.com/file/d/1jtOw7CL5TGTmPZhiW3lKiMz9uUpiWeNF/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Winter Sky,Tongue and groove profile,China,Select & Better,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/120-american-oak-winter-sky,https://drive.google.com/file/d/1xKp6zLojOA80LiAxoFuknXbyzfJlY2wl/view?usp=drivesdk,,https://drive.google.com/file/d/1bfNDd4ioJ2W5Qzt7SkLArow4NUSsWwuu/view?usp=drivesdk,
1,vidarflooring.com,Engineered,American Oak,"9/16""","7 1/2"" ",Vidar,7 1/2'' American White Oak,Wheat Berry,Tongue and groove profile,China,Select & Better,,Dry sawn cut wood layer,,,,Floating Glue-Down,"Limited 35 years finish warranty, lifetime structural warranty",,,,"RL, full length 33%-50%",https://vidarflooring.com/test-page/item/121-american-oak-wheat-berry,https://drive.google.com/file/d/1vXkVml6cxjwQkbIk1A9bmWswnDZDxU_O/view?usp=drivesdk,,https://drive.google.com/file/d/1cpOP0OoQU9RiyrrrpTmGKJa009rwlN7j/view?usp=drivesdk,
