Status,website,regions,category,collection,title,Retail Price,Min Price,Promo Price,details.size,sqft/box,boxes per pallet,Country of Origin,Wood Species / Type,Profile / Joint Type,details.species,details.profile,Plank Thickness,Plank Width,Brand Name,details.wear layer,Stock,details.shade,details.color variation,details.temperature,details.relative humidity,details.edge,details.installation,details.step size (mm),details.riser size (mm),details.side return size (mm),description,image1,image2,image3,image4,image5,url,accessories,documents.specification sheet,documents.installation sheet,documents.care & maintenance,documents.do's & don'ts,documents.warranty,details.no. of sets / box,details.no. of sets / pallet,details.iic,details.stc,details.high noise reduction ratings,details.thickness,details.roll size,documents.maintenance,documents.technical data,documents.environmental credentials,details.sound transmission test,details.impact insulation test,details.model,details.color name,details.ac rating,details.core,details.surfaces,details.anti abrasion,details.packaging,details.joint system,details.warranty,details.radiant heat application,details.certificates,documents.maintenance and care guideline,documents.installation,documents.test report of formaldehyde,documents.formaldehyde emissionstexting introduction,documents.carb ii certification 2024,documents.floor score certification 2024,documents.floor score 2024 renewal certification assessment,documents.fsc certification,details.finish,details.grade,details.texture,details.boxes per pallet,details.lock system,details.width,details.weight per box (lbs),details.sqft per box,details.wear layer thickness (mils),details.sound conduction,image0,tags,details.material,details.stair tread available
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Bronte Hill Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Bronte-Hill-800x600.jpg,,,,,https://jacobflooring.com/product/bronte-hill-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Bronte-Hill.JPG-800x1094.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Harvest Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Harvest-800x629.jpg,,,,,https://jacobflooring.com/product/harvest-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5GI,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Harvest-800x1151.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Mt. Nemo Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-MT-Nemo-800x629.jpg,,,,,https://jacobflooring.com/product/mt-nemo-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/MT-Nemo-800x1151.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Niagara Twilight Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Niagara-Twilight-800x600.jpg,,,,,https://jacobflooring.com/product/niagara-twilight-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Niagara-Twilight.JPG-800x1305.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Orchard Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Orchard-800x659.jpg,,,,,https://jacobflooring.com/product/orchard-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Orchard-800x1151.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Pineland Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Pineland-800x629.jpg,,,,,https://jacobflooring.com/product/pineland-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Pineland-800x1151.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Rockwood Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Rockwood-800x629.jpg,,,,,https://jacobflooring.com/product/rockwood-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Rockwood-800x1151.jpg,,,
1,jacobflooring.com,,"8mm Plus,8mm Series,Flooring",Canaan Wood Plus,Sandlake Stone Plus,3.69,3.49,,"60"" x 9"" x 8mm",18.7,48,China,SPC,5G Click,,,8mm,"9""",Jacob,,,,,,,,,,,,,jacobflooring.com/wp-content/uploads/2024/01/XT-Sandlake-Stone-800x600.jpg,,,,,https://jacobflooring.com/product/sandlake-stone-plus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5G,"9""",51,,,,jacobflooring.com/wp-content/uploads/2024/01/Sandlake-Stone-.JPG-800x1096.jpg,,,
1,jacobflooring.com,,"8mm Series,Flooring",Canaan Original,Bayfront Rocks,2.99,2.79,,"60"" x 7"" x 8mm",17.72,50,China,SPC,Click,,,8mm,"7""",Jacob,,,,,,,,,,,,"60″(L) x 7″(W) x 8mm (Thickness). Wear Layer: 20ml, Antique Wood Texture with UV Coating. Lock System, UNL. SqFt per Box, 17.72. Piece per box, 6pcs. Weight, 51lb/box. Boxes Per Pallet, 50",jacobflooring.com/wp-content/uploads/2023/10/Bayfront-Rocks-INT.jpg1_-800x600.jpg,,,,,https://jacobflooring.com/product/bayfront-rocks/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,UNL,"7""",51,17.72,20,,jacobflooring.com/wp-content/uploads/2023/10/Bayfront-Rocks1-800x1023.jpg,,,
1,jacobflooring.com,,"8mm Series,Flooring",Canaan Original,Muskoka Myth,2.99,2.79,,"60"" x 7"" x 8mm",17.72,50,China,SPC,Click,,,8mm,"7""",Jacob,,,,,,,,,,,,"60″(L) x 7″(W) x 8mm (Thickness). Wear Layer: 20ml, Antique Wood Texture with UV Coating. Lock System, UNL. SqFt per Box, 17.72. Piece per box, 6pcs. Weight, 51lb/box. Boxes Per Pallet, 50",jacobflooring.com/wp-content/uploads/2023/10/Muskoka-Myth-INT-1.jpg-1-800x600.jpg,,,,,https://jacobflooring.com/product/muskoka-myth/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,UNL,"7""",51,17.72,20,,jacobflooring.com/wp-content/uploads/2023/10/Muskoka-Myth-11-800x1094.jpg,,,
